company,position,location,tags,url,date_posted,salary_avg,scraped_on
EverAI,Ruby on Rails Engineer,,"front end, ruby",https://remoteOK.com/remote-jobs/remote-ruby-on-rails-engineer-everai-1093272,2025-05-29T17:55:24+00:00,100000.0,2025-05-30
Raya,Senior Backend Engineer,Remote,"design, system, training, technical, support, software, ux, elasticsearch, node.js, lead, senior, go, engineer, engineering, educational, backend, digital nomad",https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-raya-1093271,2025-05-29T16:00:09+00:00,100000.0,2025-05-30
Zeta,UX Designer II,Bangalore,"ux, design, front-end, designer, support, banking, senior, digital nomad",https://remoteOK.com/remote-jobs/remote-ux-designer-ii-zeta-1093268,2025-05-29T12:00:35+00:00,135000.0,2025-05-30
Founders Factory,Tech Cofounder CTO,,"dev, full stack, api, engineer, senior, mobile",https://remoteOK.com/remote-jobs/remote-tech-cofounder-cto-founders-factory-1093267,2025-05-29T11:44:49+00:00,80000.0,2025-05-30
97Focus,Meta Ads Specialist,,marketing,https://remoteOK.com/remote-jobs/remote-meta-ads-specialist-97focus-1093265,2025-05-29T08:27:40+00:00,60000.0,2025-05-30
Elevate,Senior Full Stack Engineer,,"engineer, senior, dev, full stack, english, javascript",https://remoteOK.com/remote-jobs/remote-senior-full-stack-engineer-elevate-1093263,2025-05-28T21:00:14+00:00,50000.0,2025-05-30
HELIX,DeFi Sales & Business Development Manager,,"defi, manager, web3, crypto, growth, investor, strategy, marketing, sales",https://remoteOK.com/remote-jobs/remote-defi-sales-business-development-manager-helix-1093261,2025-05-28T19:00:05+00:00,58750.0,2025-05-30
HockeyStack,Senior Backend Engineer,,"dev, javascript, backend, api, engineer",https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-hockeystack-1093257,2025-05-27T21:55:03+00:00,90000.0,2025-05-30
Bitwise Asset Management,Frontend Software Engineer,Remote,"frontend, software, design, crypto, bitcoin, ethereum, ui, ux, code, financial, investment, finance, css, typescript, exec, management, lead, marketing, analytics, engineer, engineering, digital nomad",https://remoteOK.com/remote-jobs/remote-frontend-software-engineer-bitwise-asset-management-1093256,2025-05-27T18:00:03+00:00,97500.0,2025-05-30
WEBTOON Entertainment Inc. (Wattpad &amp; WEBTOON Family of Brands),Wattpad Marketing Intern,"Toronto, Ontario","software, management, content, marketing, internship",https://remoteOK.com/remote-jobs/remote-wattpad-marketing-intern-webtoon-entertainment-inc-wattpad-amp-webtoon-family-of-brands-1093255,2025-05-27T16:00:24+00:00,47500.0,2025-05-30
pagesection.com,SEO guest posting & outreach freelancer,,"content writing, seo, marketing",https://remoteOK.com/remote-jobs/remote-seo-guest-posting-outreach-freelancer-pagesection-com-1093254,2025-05-27T14:25:52+00:00,10000.0,2025-05-30
Lemon.io,Senior Full stack Developer,,"engineer, senior, dev, javascript, backend, full stack, design, react, saas, full time, ruby, python, node, crypto, web dev, nosql, shopify, wordpress, blockchain, web3, typescript, aws, solidity, pyton, django, startup, azure, figma, next, gcp, remote, PostgreSQL",https://remoteOK.com/remote-jobs/remote-senior-full-stack-developer-lemon-io-1093252,2025-05-27T09:56:21+00:00,115000.0,2025-05-30
Sanctuary Computer,Senior Account Lead,,"dev, exec, sys admin, saas, devops",https://remoteOK.com/remote-jobs/remote-senior-account-lead-sanctuary-computer-1093250,2025-05-26T15:46:29+00:00,225000.0,2025-05-30
Narwhal Technologies Inc.,Developer Productivity Engineer,Remote,"developer, training, technical, support, travel, cloud, lead, senior, sales, engineer, engineering, digital nomad",https://remoteOK.com/remote-jobs/remote-developer-productivity-engineer-narwhal-technologies-inc-1093249,2025-05-26T13:00:02+00:00,83750.0,2025-05-30
Anchorage Digital,Growth Analyst Financial Institutions Group,United States,"growth, analyst, crypto, security, support, financial, finance, bank, strategy, legal",https://remoteOK.com/remote-jobs/remote-growth-analyst-financial-institutions-group-anchorage-digital-1093248,2025-05-26T12:00:03+00:00,77500.0,2025-05-30
Flex,Paid Media Designer,Remote,"design, designer, software, testing, test, growth, manager, financial, video, finance, fintech, ads, content, marketing, analytics, legal, digital nomad",https://remoteOK.com/remote-jobs/remote-paid-media-designer-flex-1093247,2025-05-26T11:00:03+00:00,87500.0,2025-05-30
